iter	Passed	Remaining
0	1	151
1	2	145
2	4	139
3	5	129
4	6	128
5	8	126
6	9	125
7	10	121
8	11	119
9	13	118
10	14	117
11	15	116
12	17	115
13	18	113
14	19	113
15	21	111
16	22	110
17	24	110
18	25	108
19	26	107
20	28	106
21	29	105
22	31	104
23	32	102
24	33	101
25	35	99
26	36	98
27	37	97
28	39	96
29	40	94
30	42	93
31	43	92
32	44	90
33	45	89
34	47	87
35	48	86
36	49	84
37	51	83
38	52	82
39	53	80
40	55	79
41	55	76
42	56	75
43	58	73
44	59	72
45	60	71
46	62	69
47	63	68
48	64	67
49	65	65
50	67	64
51	68	63
52	69	61
53	71	60
54	71	58
55	73	57
56	74	56
57	75	54
58	76	53
59	78	52
60	79	50
61	81	49
62	82	48
63	83	47
64	85	45
65	86	44
66	87	43
67	89	41
68	90	40
69	91	39
70	92	37
71	94	36
72	95	35
73	96	34
74	98	32
75	99	31
76	100	30
77	102	28
78	103	27
79	104	26
80	105	24
81	107	23
82	108	22
83	110	20
84	111	19
85	112	18
86	114	17
87	115	15
88	117	14
89	118	13
90	120	11
91	121	10
92	123	9
93	124	7
94	125	6
95	127	5
96	128	3
97	130	2
98	132	1
99	134	0
